person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.026,N,4,0.0035,0.026,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.2083,N,4,0.0156,0.2083,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.625,N,2,0.1149,0.625,25-50k,18-25,Unstable(<1y),New(<=2y),0,1,0,1
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.4688,Y,3,0.0682,0.4688,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.0676,0.4,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.4196,N,4,0.0642,0.4196,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.4835,N,2,0.087,0.4835,50-75k,26-35,Established(3-7y),New(<=2y),0,1,0,1
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.2083,N,3,0.0264,0.2083,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.0667,N,4,0.0053,0.0667,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.0808,Y,2,0.0157,0.0808,100k+,18-25,Unstable(<1y),New(<=2y),1,0,0,0
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.0333,N,4,0.0035,0.0333,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.0833,N,3,0.0128,0.0833,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,0
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.0099,0.06,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,0
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.3718,N,3,0.0278,0.3718,75-100k,26-35,Stable(7y+),Building(2-5y),0,0,0,1
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.4525,N,3,0.0574,0.4525,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.337,N,3,0.0223,0.337,75-100k,26-35,Unstable(<1y),Building(2-5y),0,0,0,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.3846,Y,4,0.0589,0.3846,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.3846,Y,3,0.0716,0.3846,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.3261,Y,3,0.0497,0.3261,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.3093,N,2,0.0329,0.3093,75-100k,18-25,Established(3-7y),New(<=2y),0,0,0,1
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.0198,0.25,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.0357,Y,3,0.0057,0.0357,100k+,26-35,Established(3-7y),Building(2-5y),1,0,0,1
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.0722,N,3,0.0083,0.0722,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,1
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.1264,N,4,0.0095,0.1264,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.2344,N,4,0.0171,0.2344,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.1458,Y,3,0.0245,0.1458,<25k,18-25,Early(1-3y),Building(2-5y),1,0,1,0
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.229,N,4,0.0137,0.229,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.0436,N,2,0.0051,0.0436,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,0
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.038,N,4,0.0042,0.038,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1127,N,2,0.0177,0.1127,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,0
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.4157,N,3,0.0665,0.4157,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.125,Y,3,0.0186,0.125,<25k,18-25,Established(3-7y),Building(2-5y),1,0,1,0
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.1077,N,3,0.0118,0.1077,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.0772,Y,2,0.0111,0.0772,100k+,18-25,Stable(7y+),New(<=2y),1,0,0,0
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.0376,N,2,0.0026,0.0376,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,0
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.0135,0.1,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,0.0337,0.25,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.4917,N,2,0.0368,0.4917,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.034,0.25,<25k,18-25,Established(3-7y),Building(2-5y),1,0,0,0
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.4308,N,2,0.034,0.4308,50-75k,18-25,Early(1-3y),New(<=2y),0,1,0,1
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.3294,N,3,0.0247,0.3294,75-100k,26-35,Early(1-3y),Building(2-5y),0,0,0,1
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.5083,N,3,0.0382,0.5083,<25k,26-35,Early(1-3y),Building(2-5y),0,1,0,0
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.3182,N,3,0.0315,0.3182,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.0472,0.35,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,0
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.3958,N,2,0.0283,0.3958,<25k,18-25,Established(3-7y),New(<=2y),0,0,0,0
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.3373,Y,4,0.0539,0.3373,75-100k,18-25,Unstable(<1y),Building(2-5y),1,0,0,1
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.072,Y,3,0.0093,0.072,100k+,18-25,Early(1-3y),Building(2-5y),1,0,0,1
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.0355,0.28,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.2545,N,2,0.0227,0.2545,100k+,26-35,Stable(7y+),New(<=2y),0,0,0,1
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.225,N,4,0.0169,0.225,<25k,26-35,Unstable(<1y),Building(2-5y),0,0,0,0
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.2593,N,4,0.0285,0.2593,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,1
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.1852,N,2,0.0206,0.1852,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,1
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,0.03,0.4,50-75k,18-25,Early(1-3y),New(<=2y),0,0,0,1
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.2708,Y,3,0.0425,0.2708,<25k,18-25,Established(3-7y),Building(2-5y),1,0,1,0
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.3929,Y,3,0.0513,0.3929,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1042,N,2,0.0114,0.1042,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,0
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.3695,Y,2,0.0577,0.3695,50-75k,26-35,Established(3-7y),New(<=2y),1,0,0,1
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.3253,Y,2,0.0439,0.3253,75-100k,18-25,Established(3-7y),New(<=2y),1,0,0,1
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.3679,N,3,0.0563,0.3679,50-75k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.416,N,2,0.0487,0.416,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.2133,N,3,0.0271,0.2133,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.1294,N,3,0.0176,0.1294,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.4246,N,3,0.0467,0.4246,50-75k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.0855,Y,4,0.0122,0.0855,100k+,18-25,Early(1-3y),Building(2-5y),1,0,0,0
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.0855,N,4,0.0076,0.0855,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.0923,N,3,0.0112,0.0923,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.0538,Y,3,0.0078,0.0538,100k+,18-25,Established(3-7y),Building(2-5y),1,0,0,0
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.1075,Y,2,0.0152,0.1075,100k+,26-35,Unstable(<1y),New(<=2y),1,0,0,0
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.1522,N,4,0.0213,0.1522,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3048,N,3,0.0335,0.3048,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.1587,N,4,0.0086,0.1587,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.1389,N,3,0.0189,0.1389,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.5882,Y,3,0.0749,0.5882,25-50k,18-25,Early(1-3y),Building(2-5y),1,1,0,1
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.6098,N,3,0.0934,0.6098,25-50k,18-25,Early(1-3y),Building(2-5y),0,1,0,1
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.2341,Y,4,0.0301,0.2341,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,0
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.2816,N,3,0.0279,0.2816,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.0885,N,4,0.0102,0.0885,100k+,26-35,Established(3-7y),Building(2-5y),0,0,0,0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.1333,Y,2,0.0265,0.1333,100k+,18-25,Unstable(<1y),New(<=2y),1,0,0,0
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.1643,N,2,0.0175,0.1643,100k+,26-35,Established(3-7y),New(<=2y),0,0,0,0
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.0267,N,4,0.0029,0.0267,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.3472,N,4,0.0411,0.3472,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.1847,Y,2,0.0249,0.1847,<25k,18-25,Unstable(<1y),New(<=2y),1,0,0,0
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.5952,Y,2,0.0868,0.5952,25-50k,18-25,Established(3-7y),New(<=2y),1,1,0,1
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.5208,N,4,0.0502,0.5208,25-50k,26-35,Early(1-3y),Building(2-5y),0,1,0,1
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.277,N,3,0.0404,0.277,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,1,0
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.3655,N,3,0.0402,0.3655,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.5902,Y,3,0.0965,0.5902,25-50k,18-25,Unstable(<1y),Building(2-5y),1,1,0,1
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.5102,N,2,0.0561,0.5102,25-50k,18-25,Established(3-7y),New(<=2y),0,1,0,1
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.1111,N,2,0.0207,0.1111,100k+,18-25,Unstable(<1y),New(<=2y),0,0,0,0
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.0133,N,4,0.0012,0.0133,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,1
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.0333,N,2,0.0029,0.0333,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,1
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.1111,N,2,0.0112,0.1111,100k+,26-35,Early(1-3y),New(<=2y),0,0,0,0
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.5054,N,3,0.0598,0.5054,25-50k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.0395,0.5,25-50k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.03,0.5,25-50k,18-25,Established(3-7y),New(<=2y),0,1,0,1
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.5682,N,2,0.0871,0.5682,25-50k,18-25,Early(1-3y),New(<=2y),0,1,0,1
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.0592,0.5,25-50k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.0518,0.5,50-75k,18-25,Unstable(<1y),New(<=2y),0,1,0,1
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.0611,0.5,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.4808,N,4,0.0534,0.4808,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.375,N,4,0.0296,0.375,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.1136,N,2,0.0132,0.1136,100k+,18-25,Unstable(<1y),New(<=2y),0,0,0,0
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.0972,N,3,0.0087,0.0972,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.1157,N,3,0.0186,0.1157,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,0
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.0926,Y,2,0.0132,0.0926,100k+,26-35,Stable(7y+),New(<=2y),1,0,0,0
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.1628,Y,3,0.0241,0.1628,100k+,18-25,Established(3-7y),Building(2-5y),1,0,0,0
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.0558,N,2,0.0044,0.0558,100k+,26-35,Stable(7y+),New(<=2y),0,0,0,0
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.4808,N,2,0.0636,0.4808,50-75k,18-25,Unstable(<1y),New(<=2y),0,1,0,1
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.5435,N,4,0.0645,0.5435,25-50k,26-35,Early(1-3y),Building(2-5y),0,1,0,1
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.4717,Y,4,0.0633,0.4717,50-75k,18-25,Established(3-7y),Building(2-5y),1,1,0,1
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.5319,Y,2,0.0813,0.5319,25-50k,26-35,Unstable(<1y),New(<=2y),1,1,0,1
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.5319,N,2,0.0954,0.5319,25-50k,18-25,Unstable(<1y),New(<=2y),0,1,0,1
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.1061,N,4,0.0098,0.1061,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.3409,N,4,0.0443,0.3409,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.0762,N,4,0.0081,0.0762,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1048,N,4,0.0124,0.1048,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.5208,N,2,0.096,0.5208,25-50k,26-35,Established(3-7y),New(<=2y),0,1,0,1
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.4546,N,4,0.05,0.4546,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.4545,Y,4,0.0696,0.4545,50-75k,18-25,Established(3-7y),Building(2-5y),1,1,0,1
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.4545,N,3,0.0516,0.4545,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.4545,Y,3,0.0711,0.4545,50-75k,18-25,Established(3-7y),Building(2-5y),1,1,0,1
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.4532,Y,4,0.0599,0.4532,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.4464,N,2,0.0575,0.4464,50-75k,26-35,Established(3-7y),New(<=2y),0,1,0,1
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.0983,N,3,0.0128,0.0983,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,0
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.1158,Y,3,0.0204,0.1158,100k+,18-25,Established(3-7y),Building(2-5y),1,0,0,0
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.5568,N,4,0.0949,0.5568,<25k,18-25,Early(1-3y),Building(2-5y),0,1,1,0
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.4167,N,3,0.0458,0.4167,50-75k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.4167,N,3,0.0463,0.4167,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1
