person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,default_probability,credit_risk_score,risk_tier
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.254,Y,2,0.0426,0.254,100k+,18-25,Stable(7y+),New(<=2y),1,0,0,1,0.6119747118286964,533,High
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.5231,N,4,0.092,0.5231,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9488751002193926,331,Very High
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.1366,N,3,0.01,0.1366,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.04147978751751979,875,Very Low
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.4244,Y,4,0.0617,0.4244,75-100k,18-25,Early(1-3y),Building(2-5y),1,1,0,1,0.8954630166247898,363,Very High
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.4871,N,3,0.0618,0.4871,50-75k,18-25,Stable(7y+),Building(2-5y),0,1,0,1,0.8775347411671142,373,Very High
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.4159,Y,3,0.0738,0.4159,<25k,18-25,Early(1-3y),Building(2-5y),1,1,1,0,0.9906621684409248,306,Very High
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.1273,N,3,0.0119,0.1273,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.04825980441016755,871,Very Low
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.05,0.5,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.8957109487462304,363,Very High
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.3512,Y,2,0.0451,0.3512,<25k,18-25,Established(3-7y),New(<=2y),1,0,0,0,0.8831006719435103,370,Very High
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.1736,N,3,0.0193,0.1736,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.141034601340418,815,Very Low
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.2667,N,2,0.0177,0.2667,100k+,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.05676634188228162,866,Very Low
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.3268,Y,3,0.0463,0.3268,75-100k,26-35,Established(3-7y),Building(2-5y),1,0,0,1,0.5218657380812521,587,Moderate
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.0792,N,3,0.011,0.0792,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.10440929187685519,837,Very Low
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.026,N,4,0.0035,0.026,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.1425715690070989,814,Very Low
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.2083,N,4,0.0156,0.2083,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.08736455187943055,848,Very Low
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.625,N,2,0.1149,0.625,25-50k,18-25,Unstable(<1y),New(<=2y),0,1,0,1,0.990295629471694,306,Very High
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.4688,Y,3,0.0682,0.4688,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1,0.9724091199277941,317,Very High
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.0676,0.4,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.9481080970033992,331,Very High
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.4196,N,4,0.0642,0.4196,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1,0.9534597850479717,328,Very High
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.4835,N,2,0.087,0.4835,50-75k,26-35,Established(3-7y),New(<=2y),0,1,0,1,0.9768729022171416,314,Very High
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.2083,N,3,0.0264,0.2083,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.108814060397633,835,Very Low
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.0667,N,4,0.0053,0.0667,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.008554546463978352,895,Very Low
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.0808,Y,2,0.0157,0.0808,100k+,18-25,Unstable(<1y),New(<=2y),1,0,0,0,0.13498646252059293,819,Very Low
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.0333,N,4,0.0035,0.0333,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.01876097283805048,889,Very Low
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.0833,N,3,0.0128,0.0833,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,0,0.1920191210309547,785,Very Low
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.0099,0.06,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,0,0.6409462679686261,515,High
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.3718,N,3,0.0278,0.3718,75-100k,26-35,Stable(7y+),Building(2-5y),0,0,0,1,0.4109069331616166,653,Moderate
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.4525,N,3,0.0574,0.4525,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.7788380836843484,433,Very High
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.337,N,3,0.0223,0.337,75-100k,26-35,Unstable(<1y),Building(2-5y),0,0,0,1,0.38548621537077055,669,Moderate
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.3846,Y,4,0.0589,0.3846,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.920706229019508,348,Very High
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.3846,Y,3,0.0716,0.3846,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.9581249830403514,325,Very High
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.3261,Y,3,0.0497,0.3261,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.38082154496041376,672,Moderate
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.3093,N,2,0.0329,0.3093,75-100k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.16553834927284983,801,Very Low
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.0198,0.25,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.08661977799675571,848,Very Low
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.0357,Y,3,0.0057,0.0357,100k+,26-35,Established(3-7y),Building(2-5y),1,0,0,1,0.23887393001396626,757,Low
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.0722,N,3,0.0083,0.0722,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,1,0.03295941370822348,880,Very Low
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.1264,N,4,0.0095,0.1264,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.0010973183054457517,899,Very Low
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.2344,N,4,0.0171,0.2344,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.08274395157187998,850,Very Low
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.1458,Y,3,0.0245,0.1458,<25k,18-25,Early(1-3y),Building(2-5y),1,0,1,0,0.5570371343245692,566,High
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.229,N,4,0.0137,0.229,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.039050261456128055,877,Very Low
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.0436,N,2,0.0051,0.0436,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.005597064191670408,897,Very Low
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.038,N,4,0.0042,0.038,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,0,0.045452499890438605,873,Very Low
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1127,N,2,0.0177,0.1127,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.34657275315150743,692,Low
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.4157,N,3,0.0665,0.4157,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9164524796852738,350,Very High
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.125,Y,3,0.0186,0.125,<25k,18-25,Established(3-7y),Building(2-5y),1,0,1,0,0.828764872093805,403,Very High
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.1077,N,3,0.0118,0.1077,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.007051181598960135,896,Very Low
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.0772,Y,2,0.0111,0.0772,100k+,18-25,Stable(7y+),New(<=2y),1,0,0,0,0.45592589817179136,626,Moderate
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.0376,N,2,0.0026,0.0376,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.021247888264232562,887,Very Low
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.0135,0.1,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.09094291873226552,845,Very Low
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,0.0337,0.25,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.3581875938958976,685,Low
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.4917,N,2,0.0368,0.4917,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.8878633846028937,367,Very High
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.034,0.25,<25k,18-25,Established(3-7y),Building(2-5y),1,0,0,0,0.2565886845459517,746,Low
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.4308,N,2,0.034,0.4308,50-75k,18-25,Early(1-3y),New(<=2y),0,1,0,1,0.6594542859317047,504,High
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.3294,N,3,0.0247,0.3294,75-100k,26-35,Early(1-3y),Building(2-5y),0,0,0,1,0.2012692856473155,779,Low
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.5083,N,3,0.0382,0.5083,<25k,26-35,Early(1-3y),Building(2-5y),0,1,0,0,0.8707003395608398,378,Very High
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.3182,N,3,0.0315,0.3182,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.21225875089960178,773,Low
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.0472,0.35,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,0,0.5560316202690183,566,High
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.3958,N,2,0.0283,0.3958,<25k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.712881913772884,472,Very High
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.3373,Y,4,0.0539,0.3373,75-100k,18-25,Unstable(<1y),Building(2-5y),1,0,0,1,0.7534854194028142,448,Very High
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.072,Y,3,0.0093,0.072,100k+,18-25,Early(1-3y),Building(2-5y),1,0,0,1,0.08072326882899974,852,Very Low
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.0355,0.28,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.3544503076290138,687,Low
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.2545,N,2,0.0227,0.2545,100k+,26-35,Stable(7y+),New(<=2y),0,0,0,1,0.12001688982309662,828,Very Low
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.225,N,4,0.0169,0.225,<25k,26-35,Unstable(<1y),Building(2-5y),0,0,0,0,0.18892099084199795,787,Very Low
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.2593,N,4,0.0285,0.2593,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.1597911022801303,804,Very Low
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.1852,N,2,0.0206,0.1852,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.1288438735961516,823,Very Low
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,0.03,0.4,50-75k,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.7414679992471735,455,Very High
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.2708,Y,3,0.0425,0.2708,<25k,18-25,Established(3-7y),Building(2-5y),1,0,1,0,0.9838952798092696,310,Very High
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.3929,Y,3,0.0513,0.3929,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.5712194078578195,557,High
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1042,N,2,0.0114,0.1042,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.004495031466539317,897,Very Low
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.3695,Y,2,0.0577,0.3695,50-75k,26-35,Established(3-7y),New(<=2y),1,0,0,1,0.8267165714083474,404,Very High
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.3253,Y,2,0.0439,0.3253,75-100k,18-25,Established(3-7y),New(<=2y),1,0,0,1,0.44009219791442467,636,Moderate
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.3679,N,3,0.0563,0.3679,50-75k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.8276205025969654,403,Very High
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.416,N,2,0.0487,0.416,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.7782315032221019,433,Very High
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.2133,N,3,0.0271,0.2133,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.13792388124044366,817,Very Low
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.1294,N,3,0.0176,0.1294,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.13246142482290377,821,Very Low
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.4246,N,3,0.0467,0.4246,50-75k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1,0.6372352447836029,518,High
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.0855,Y,4,0.0122,0.0855,100k+,18-25,Early(1-3y),Building(2-5y),1,0,0,0,0.07948765269020804,852,Very Low
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.0855,N,4,0.0076,0.0855,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,0,0.009045115241315892,895,Very Low
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.0923,N,3,0.0112,0.0923,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.07497957192199034,855,Very Low
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.0538,Y,3,0.0078,0.0538,100k+,18-25,Established(3-7y),Building(2-5y),1,0,0,0,0.5385488903027242,577,High
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.1075,Y,2,0.0152,0.1075,100k+,26-35,Unstable(<1y),New(<=2y),1,0,0,0,0.058132684234067374,865,Very Low
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.1522,N,4,0.0213,0.1522,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.032553714096902234,880,Very Low
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3048,N,3,0.0335,0.3048,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.31709706871468624,710,Low
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.1587,N,4,0.0086,0.1587,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.20864378338532816,775,Low
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.1389,N,3,0.0189,0.1389,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.11596619020075076,830,Very Low
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.5882,Y,3,0.0749,0.5882,25-50k,18-25,Early(1-3y),Building(2-5y),1,1,0,1,0.9586691361452926,325,Very High
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.6098,N,3,0.0934,0.6098,25-50k,18-25,Early(1-3y),Building(2-5y),0,1,0,1,0.9974759072117845,302,Very High
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.2341,Y,4,0.0301,0.2341,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,0,0.341928787487216,695,Low
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.2816,N,3,0.0279,0.2816,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.8291758497017784,402,Very High
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.0885,N,4,0.0102,0.0885,100k+,26-35,Established(3-7y),Building(2-5y),0,0,0,0,0.0752105269565294,855,Very Low
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.1333,Y,2,0.0265,0.1333,100k+,18-25,Unstable(<1y),New(<=2y),1,0,0,0,0.5865016460954746,548,High
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.1643,N,2,0.0175,0.1643,100k+,26-35,Established(3-7y),New(<=2y),0,0,0,0,0.013345289972029196,892,Very Low
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.0267,N,4,0.0029,0.0267,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.159679522310331,804,Very Low
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.3472,N,4,0.0411,0.3472,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.8989517871470557,361,Very High
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.1847,Y,2,0.0249,0.1847,<25k,18-25,Unstable(<1y),New(<=2y),1,0,0,0,0.24418752019353657,753,Low
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.5952,Y,2,0.0868,0.5952,25-50k,18-25,Established(3-7y),New(<=2y),1,1,0,1,0.9954583541532436,303,Very High
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.5208,N,4,0.0502,0.5208,25-50k,26-35,Early(1-3y),Building(2-5y),0,1,0,1,0.9115499601200767,353,Very High
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.277,N,3,0.0404,0.277,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,1,0,0.861326503153089,383,Very High
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.3655,N,3,0.0402,0.3655,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.4869272932069004,608,Moderate
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.5902,Y,3,0.0965,0.5902,25-50k,18-25,Unstable(<1y),Building(2-5y),1,1,0,1,0.9932306105681644,304,Very High
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.5102,N,2,0.0561,0.5102,25-50k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.8943056725340196,363,Very High
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.1111,N,2,0.0207,0.1111,100k+,18-25,Unstable(<1y),New(<=2y),0,0,0,0,0.3886822987315798,667,Moderate
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.0133,N,4,0.0012,0.0133,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,1,0.08236291307225133,851,Very Low
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.0333,N,2,0.0029,0.0333,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,1,0.11194815961440718,833,Very Low
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.1111,N,2,0.0112,0.1111,100k+,26-35,Early(1-3y),New(<=2y),0,0,0,0,0.013022761500397818,892,Very Low
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.5054,N,3,0.0598,0.5054,25-50k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9056208423141642,357,Very High
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.0395,0.5,25-50k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1,0.9373351739532902,338,Very High
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.03,0.5,25-50k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.9549772439717432,327,Very High
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.5682,N,2,0.0871,0.5682,25-50k,18-25,Early(1-3y),New(<=2y),0,1,0,1,0.9947199239119601,303,Very High
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.0592,0.5,25-50k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1,0.829726209727786,402,Very High
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.0518,0.5,50-75k,18-25,Unstable(<1y),New(<=2y),0,1,0,1,0.8385319379172667,397,Very High
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.0611,0.5,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1,0.8481698861797375,391,Very High
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.4808,N,4,0.0534,0.4808,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1,0.8503189368637964,390,Very High
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.375,N,4,0.0296,0.375,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.64126984705766,515,High
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.1136,N,2,0.0132,0.1136,100k+,18-25,Unstable(<1y),New(<=2y),0,0,0,0,0.024010572243653966,886,Very Low
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.0972,N,3,0.0087,0.0972,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.03598129156571087,878,Very Low
